date,t,GRU,CNN
1970-01-07 14:15:00,107875.0,106088.0791514039,108203.08445026175
1970-01-07 14:30:00,108070.0,105832.79772673415,106419.81078857748
1970-01-07 14:45:00,105397.0,104967.1485832859,104296.0745104976
1970-01-07 15:00:00,111950.0,109271.34460228722,108407.0942559916
1970-01-07 15:15:00,108981.0,105287.85934559244,105413.26270544408
1970-01-07 15:30:00,107883.0,105152.01737470504,104433.99347363866
1970-01-07 15:45:00,110849.0,104589.36457067727,103965.87013271356
1970-01-07 16:00:00,112355.0,109758.38355406973,110965.27625779028
1970-01-07 16:15:00,112673.0,108229.76065308848,109854.8007535584
1970-01-07 16:30:00,109304.0,108835.55865614653,108789.5617561434
1970-01-07 16:45:00,108404.0,108842.0515604798,108361.29454459203
1970-01-07 17:00:00,114781.0,110917.98349824322,112013.5396493996
1970-01-07 17:15:00,110083.0,109163.56041377474,110427.91984772384
1970-01-07 17:30:00,122678.0,107965.54876056738,108204.14100660646
1970-01-07 17:45:00,118029.0,109770.06833303528,109396.77379176514
1970-01-07 18:00:00,113192.0,113735.59950272753,112934.46234590025
1970-01-07 18:15:00,112158.0,112090.84248723963,111736.98728981412
1970-01-07 18:30:00,105229.0,113729.71384623965,112902.59931195703
1970-01-07 18:45:00,101341.0,111004.44665255696,110325.0932572997
1970-01-07 19:00:00,111077.0,109899.12869212503,110323.96587181052
1970-01-07 19:15:00,104886.0,107115.16110122326,108139.72129658496
1970-01-07 19:30:00,112097.0,106283.30048724542,108438.3961274329
1970-01-07 19:45:00,108771.0,106217.08343950358,107339.0482934243
1970-01-07 20:00:00,111516.0,109943.39316445445,109704.78683844431
1970-01-07 20:15:00,115335.0,109058.66533153813,108474.1040028557
1970-01-07 20:30:00,120535.0,111855.07576591439,111014.54004838046
1970-01-07 20:45:00,112801.0,110480.89683961101,109353.1242186899
1970-01-07 21:00:00,118429.0,111753.02594665934,109180.8252206706
1970-01-07 21:15:00,118738.0,109984.97375613402,108113.91752827833
1970-01-07 21:30:00,115279.0,111875.62551877956,110823.31368294892
1970-01-07 21:45:00,108869.0,110278.92462362854,110672.12360290565
1970-01-07 22:00:00,105271.0,112514.57868548896,112554.94984851034
1970-01-07 22:15:00,103886.0,110327.49863169309,113129.11143463156
1970-01-07 22:30:00,99387.0,110044.86500387824,112888.83217494104
