date,t,GRU,CNN
1970-01-21 19:15:00,107810.0,106467.83705629827,104872.7018046728
1970-01-21 19:20:00,120562.0,107849.76089913883,106637.46910825688
1970-01-21 19:25:00,110273.0,114980.79865571194,112676.34001791642
1970-01-21 19:30:00,109229.0,111567.01342653368,110632.32707231188
1970-01-21 19:35:00,123685.0,110247.32559803865,111156.39020154026
1970-01-21 19:40:00,128867.0,117643.86304966972,116707.97196281806
1970-01-21 19:45:00,118297.0,119794.47913200237,117155.66589225424
1970-01-21 19:50:00,115347.0,116818.8508142945,114935.53561603036
1970-01-21 19:55:00,120392.0,115937.16737487879,115450.8639762832
1970-01-21 20:00:00,118275.0,119569.41299377588,117299.3486577544
1970-01-21 20:05:00,110818.0,116860.94957226099,115812.02083194644
1970-01-21 20:10:00,105265.0,111309.28537772132,111681.35984670027
1970-01-21 20:15:00,109064.0,108920.3840667696,108565.34794960692
1970-01-21 20:20:00,115329.0,112006.06760705748,109742.6758296386
1970-01-21 20:25:00,110895.0,114127.32260713736,112191.30357098245
1970-01-21 20:30:00,109384.0,112899.27025160374,112369.48037457914
1970-01-21 20:35:00,114443.0,111594.00759841049,112976.72858697544
1970-01-21 20:40:00,125097.0,115591.35581296335,115568.41591280464
1970-01-21 20:45:00,114085.0,119437.8148042832,118938.71407987506
1970-01-21 20:50:00,114197.0,114375.85100668462,115722.3917319866
1970-01-21 20:55:00,112694.0,115209.70544067853,116141.47473275632
1970-01-21 21:00:00,114363.0,115181.07660383568,114891.2769623543
1970-01-21 21:05:00,109112.0,113891.867489553,113873.26400558348
1970-01-21 21:10:00,139563.0,111178.38576523779,110728.64337243309
1970-01-21 21:15:00,139207.0,125605.0382176828,120803.87340777634
1970-01-21 21:20:00,129600.0,127203.36098443865,123014.4669980692
1970-01-21 21:25:00,134439.0,126244.32194011555,122740.81176509013
1970-01-21 21:30:00,135975.0,128696.5203288332,127233.97914598108
1970-01-21 21:35:00,137935.0,128042.66158622527,126782.3277399737
1970-01-21 21:40:00,131644.0,127472.98526738783,127554.53825358236
1970-01-21 21:45:00,124325.0,126409.36315504494,127190.73029806392
1970-01-21 21:50:00,117340.0,124627.55371797606,124771.67833558931
1970-01-21 21:55:00,126776.0,120650.30306871141,121523.73914932024
1970-01-21 22:00:00,133458.0,124947.91434155882,124022.18689124857
1970-01-21 22:05:00,132915.0,126668.44147764695,126271.0900629612
1970-01-21 22:10:00,130716.0,127796.01761927268,127174.137618228
1970-01-21 22:15:00,134227.0,127777.61172727046,127863.7541820952
1970-01-21 22:20:00,124103.0,129166.03075223694,130191.56439463382
1970-01-21 22:25:00,118057.0,124632.41076615134,126219.24690610405
1970-01-21 22:30:00,123205.0,121001.33802615228,124007.2704572779
1970-01-21 22:35:00,128499.0,123236.75824775583,126023.51018642708
1970-01-21 22:40:00,123814.0,125198.75466513,126376.52937277376
1970-01-21 22:45:00,132313.0,124248.4688257088,124845.98743234544
1970-01-21 22:50:00,132516.0,129060.65096640452,127898.5467916658
1970-01-21 22:55:00,126903.0,128681.17541794298,128474.23548625888
1970-01-21 23:00:00,121545.0,127439.40730272225,127849.38285138825
1970-01-21 23:05:00,118351.0,122910.66346146929,125071.77347413352
1970-01-21 23:10:00,117181.0,121085.16327680254,122152.9358882476
1970-01-21 23:15:00,125403.0,119554.02755055211,119347.8776854953
1970-01-21 23:20:00,122269.0,122847.37505177809,121325.80079458431
1970-01-21 23:25:00,116443.0,121049.97782032847,120125.1383328945
1970-01-21 23:30:00,119387.0,119027.58947429711,117539.78383394593
1970-01-21 23:35:00,162224.0,122876.37396715496,118833.69958347834
1970-01-21 23:40:00,127256.0,134898.71019753555,132675.60904631752
1970-01-21 23:45:00,124392.0,126133.07494827143,124128.09366029716
1970-01-21 23:50:00,113889.0,126380.67759411414,125220.01930793312
1970-01-21 23:55:00,111485.0,119719.28452244811,121246.41153040552
1970-01-22 00:00:00,116641.0,113958.05119769175,117256.70702727516
1970-01-22 00:05:00,117802.0,116978.6682650196,118378.11046785284
1970-01-22 00:10:00,122016.0,116910.87599517682,117179.9407224376
1970-01-22 00:15:00,120552.0,121344.05765319121,119438.98662336689
1970-01-22 00:20:00,130696.0,120204.62753048488,119367.99539675728
1970-01-22 00:25:00,139216.0,126634.63463455494,122513.5733033414
1970-01-22 00:30:00,115930.0,129615.7168781349,126853.0348272604
1970-01-22 00:35:00,126806.0,120111.25968861763,118578.1169392858
1970-01-22 00:40:00,140420.0,124572.03963926491,123294.56481927494
1970-01-22 00:45:00,126783.0,128469.27754013301,126914.80274964808
1970-01-22 00:50:00,128951.0,123315.17375057373,123046.72395788712
1970-01-22 00:55:00,130900.0,126773.98387608123,125890.73604652646
1970-01-22 01:00:00,128880.0,126170.99264698334,126641.92199861813
1970-01-22 01:05:00,133479.0,128631.33065669307,125502.5348571528
1970-01-22 01:10:00,138132.0,129269.1420164364,127441.87113097872
1970-01-22 01:15:00,127478.0,130141.66755139887,129018.98522419063
1970-01-22 01:20:00,131670.0,127005.38939063165,125407.70453849796
1970-01-22 01:25:00,121479.0,128842.56666144807,127281.97800101271
1970-01-22 01:30:00,121789.0,122183.07379868558,123289.50137730462
1970-01-22 01:35:00,127018.0,124323.47259848712,123865.898530745
1970-01-22 01:40:00,116630.0,123977.93150940126,124635.94684529662
1970-01-22 01:45:00,129402.0,118756.98864383297,119294.02592862964
1970-01-22 01:50:00,124998.0,125897.23967392497,123255.27665059282
1970-01-22 01:55:00,123715.0,125025.16601159584,122414.14582667204
1970-01-22 02:00:00,122564.0,124158.33278806145,121702.6983876059
1970-01-22 02:05:00,114435.0,122810.9522211458,122712.12185798735
1970-01-22 02:10:00,110705.0,116247.78229459295,118829.11170244352
1970-01-22 02:15:00,111090.0,113530.47658701782,116298.48925551493
1970-01-22 02:20:00,110874.0,110278.45418895019,114905.59308356103
1970-01-22 02:25:00,113919.0,111939.20776285585,113162.2745566732
1970-01-22 02:30:00,114258.0,113941.61011354212,114130.60185972814
1970-01-22 02:35:00,121101.0,114496.13658600293,115454.08123614916
1970-01-22 02:40:00,118518.0,120725.33859004099,118247.77355126465
1970-01-22 02:45:00,132343.0,118839.74186797268,117633.6922993604
1970-01-22 02:50:00,114243.0,125655.95442203006,122200.11607564388
1970-01-22 02:55:00,111317.0,116217.4553078012,115730.94217368176
1970-01-22 03:00:00,127961.0,113563.98226214081,114773.79378961782
1970-01-22 03:05:00,128302.0,124110.08859568539,120955.20783498976
1970-01-22 03:10:00,123854.0,122490.17021004997,121082.74696952789
1970-01-22 03:15:00,121168.0,121195.33863179924,120540.3982609158
1970-01-22 03:20:00,130180.0,121564.30449299725,120436.09256281568
1970-01-22 03:25:00,125667.0,124967.77267588794,122330.35763977602
1970-01-22 03:30:00,116533.0,124649.64119354797,121674.2705880979
1970-01-22 03:35:00,167135.0,120021.54288346118,118005.46543529944
1970-01-22 03:40:00,138588.0,135924.28687535462,136403.01461320807
1970-01-22 03:45:00,145021.0,128801.3546041881,130394.35760090729
1970-01-22 03:50:00,137590.0,134359.87035627535,134203.9457139434
1970-01-22 03:55:00,141105.0,131589.66321037337,133536.10689494608
1970-01-22 04:00:00,127790.0,131191.2524184112,131881.92411996782
1970-01-22 04:05:00,137454.0,127655.52530960506,126966.5896991073
1970-01-22 04:10:00,126702.0,130568.1871910823,129802.73956592137
1970-01-22 04:15:00,129328.0,128337.7708553149,127025.10203697042
1970-01-22 04:20:00,130286.0,128125.77457932604,126406.82363340392
1970-01-22 04:25:00,128759.0,126783.37363407106,127544.6658389694
1970-01-22 04:30:00,130576.0,127939.08895176594,126497.98449777688
1970-01-22 04:35:00,125620.0,129282.42060224326,127732.00858515046
1970-01-22 04:40:00,123064.0,124547.33944209406,125414.17397832536
1970-01-22 04:45:00,130063.0,125398.72807764252,123304.39830632512
1970-01-22 04:50:00,125007.0,128138.72561308008,125429.81043853046
1970-01-22 04:55:00,114320.0,124626.31388223535,123766.54951691184
1970-01-22 05:00:00,122823.0,116855.67311734713,119137.79095739494
1970-01-22 05:05:00,127675.0,125053.09107265048,122447.01239658672
1970-01-22 05:10:00,150094.0,126487.1535160785,123175.6291789326
1970-01-22 05:15:00,122681.0,134193.6132936317,130700.04866710112
1970-01-22 05:20:00,135104.0,124403.24786529026,122233.2326522842
1970-01-22 05:25:00,131704.0,134338.27361078234,128118.40692395932
1970-01-22 05:30:00,128798.0,127480.47659334016,127632.90362173542
1970-01-22 05:35:00,127375.0,127149.02490334664,126749.40645999252
1970-01-22 05:40:00,127027.0,127366.66566808432,126212.70146687742
1970-01-22 05:45:00,131224.0,126932.22718198498,124661.15377661292
1970-01-22 05:50:00,121900.0,125959.77195759132,124957.29177040776
1970-01-22 05:55:00,116292.0,123898.57832112708,121280.01728937907
1970-01-22 06:00:00,104760.0,120171.18877676305,118859.09539241275
1970-01-22 06:05:00,169506.0,112337.27432935772,112895.35134425935
1970-01-22 06:10:00,116895.0,130995.31681776795,134642.04734901112
1970-01-22 06:15:00,131671.0,119844.03345313153,119450.43623677232
1970-01-22 06:20:00,109470.0,128205.84518398909,124546.20117930876
1970-01-22 06:25:00,125029.0,117357.48362680331,116653.8428625815
1970-01-22 06:30:00,108274.0,122215.32402652029,119365.21805123196
1970-01-22 06:35:00,113392.0,110228.42074588557,112544.53738524944
1970-01-22 06:40:00,105259.0,111489.80659928289,113857.07605170288
1970-01-22 06:45:00,112750.0,109547.543705474,109414.41847103238
1970-01-22 06:50:00,160271.0,110513.1737674292,111165.6510139604
1970-01-22 06:55:00,144061.0,134683.679085871,127361.69824492277
1970-01-22 07:00:00,118600.0,132381.90381899753,127201.50977585744
1970-01-22 07:05:00,164128.0,122710.92244801798,119538.06851952049
1970-01-22 07:10:00,163118.0,136913.2529560377,138557.12350787257
1970-01-22 07:15:00,132181.0,137379.32099020053,138027.7465149009
1970-01-22 07:20:00,128510.0,129911.20193851306,127659.21819840893
1970-01-22 07:25:00,138783.0,130544.4751104371,128122.03604558388
1970-01-22 07:30:00,123202.0,131469.74745794391,128908.99187892766
1970-01-22 07:35:00,109793.0,125028.1846993514,122199.00473962633
1970-01-22 07:40:00,151271.0,114139.73844952649,115656.48531178662
1970-01-22 07:45:00,103975.0,132131.63674696902,132747.4738198322
1970-01-22 07:50:00,102814.0,109686.46911978917,114980.12165825568
1970-01-22 07:55:00,103137.0,103830.2380180114,109877.3187345478
1970-01-22 08:00:00,101351.0,105974.4269124073,107299.53046207003
1970-01-22 08:05:00,117594.0,104892.27896717995,106168.0039838775
1970-01-22 08:10:00,95778.0,111016.56032996289,109862.83942490412
1970-01-22 08:15:00,100269.0,96402.2708207492,100300.34457764051
1970-01-22 08:20:00,110458.0,97337.22008895474,100068.86971594545
1970-01-22 08:25:00,100902.0,110553.05261336558,105227.536815903
1970-01-22 08:30:00,101645.0,100741.61226104027,100275.58648810172
1970-01-22 08:35:00,105261.0,101057.49826246884,100281.52997676408
1970-01-22 08:40:00,121826.0,103654.21752823253,103287.18036734544
1970-01-22 08:45:00,105028.0,117093.43487399255,108421.31497919702
1970-01-22 08:50:00,102925.0,103655.72521773893,102489.84883453546
1970-01-22 08:55:00,102785.0,102486.33775529945,101221.7083242394
1970-01-22 09:00:00,98270.0,104645.62875373151,103255.57296294508
1970-01-22 09:05:00,97465.0,99367.64958885021,100883.28267834413
1970-01-22 09:10:00,102513.0,97458.34363531764,100795.12653311064
1970-01-22 09:15:00,99200.0,102469.5298822946,101456.11973951348
1970-01-22 09:20:00,99636.0,97985.80137077364,99121.90234189508
1970-01-22 09:25:00,98686.0,97542.00261302695,98409.97898477812
1970-01-22 09:30:00,96732.0,100658.0528462036,99856.6811855172
1970-01-22 09:35:00,98830.0,96586.647630594,100744.19924735988
1970-01-22 09:40:00,94739.0,100974.98645758281,102550.03224711875
1970-01-22 09:45:00,133696.0,95880.82788592017,98373.6974231692
1970-01-22 09:50:00,134559.0,119527.97356815565,110806.82141369264
1970-01-22 09:55:00,115690.0,119616.69243370878,113929.7241285807
1970-01-22 10:00:00,117072.0,114344.4385509065,110157.03053440484
1970-01-22 10:05:00,130216.0,119477.05615670177,115523.46975026708
1970-01-22 10:10:00,128086.0,121714.78210670674,117488.16110102215
1970-01-22 10:15:00,124072.0,120869.16940584815,118761.05811589536
1970-01-22 10:20:00,115177.0,122145.67975942312,117856.43689963
1970-01-22 10:25:00,122792.0,115641.30167825123,115504.11041048578
1970-01-22 10:30:00,113629.0,120801.12799237882,116605.87533748025
1970-01-22 10:35:00,125742.0,114898.67034356305,113164.2172754327
1970-01-22 10:40:00,127750.0,121379.64836372646,119156.317129517
1970-01-22 10:45:00,129304.0,124553.66397304542,122912.40984737426
1970-01-22 10:50:00,128627.0,123072.27323445781,122493.46760250912
1970-01-22 10:55:00,120983.0,123796.67296444491,122538.11874757314
